Mk,Cn,Ft,immatricolazioni,consumo_medio_l100km,co2_wltp_medio,potenza_media_kw,peso_medio_kg,autonomia_elettrica_media_km,total_immatricolazioni,prezzo_listino_base_eur,bagagliaio_litri,note
FIAT,PANDA,electric,80,,0.0,83.0,1515.0,,98940,24900.0,,
FIAT,PANDA,lpg,1642,6.0,119.0,51.0,1075.0,,98940,15950.0,,
FIAT,PANDA,petrol,97218,4.9,111.8,52.1,1048.2,,98940,15500.0,,
DACIA,SANDERO,lpg,45786,5.7,112.0,74.0,1222.2,,60015,14900.0,,
DACIA,SANDERO,petrol,14229,5.5,124.1,63.0,1151.0,,60015,13900.0,,
JEEP,AVENGER,electric,2472,,0.0,115.0,1595.0,,41017,39900.0,,
JEEP,AVENGER,petrol,38545,5.4,121.2,74.0,1290.6,,41017,24950.0,,
TOYOTA,TOYOTA YARIS CROSS,petrol,36352,4.6,104.8,68.0,1278.1,,36352,28900.0,,
CITROEN,C3,diesel,2632,4.5,117.1,75.0,1164.7,,36337,20900.0,,
CITROEN,C3,petrol,33705,5.6,124.9,66.5,1123.9,,36337,15900.0,,
PEUGEOT,208,diesel,51,4.2,109.2,75.0,1165.0,,32432,23900.0,,
PEUGEOT,208,electric,1613,,0.0,106.9,1530.0,354.3,32432,35900.0,,
PEUGEOT,208,petrol,30768,5.2,115.7,65.6,1158.4,,32432,19900.0,,
LANCIA,YPSILON,electric,374,,0.0,115.0,1561.0,,32162,34900.0,,
LANCIA,YPSILON,lpg,4258,6.0,119.0,51.0,1135.0,,32162,17900.0,,
LANCIA,YPSILON,petrol,27530,4.9,109.3,54.5,1103.1,,32162,17200.0,,
TOYOTA,TOYOTA YARIS,petrol,31650,4.0,90.7,68.0,1175.3,,31650,24800.0,,
VOLKSWAGEN,T-ROC,diesel,9508,4.9,129.4,98.2,1444.0,,30451,34900.0,,
VOLKSWAGEN,T-ROC,petrol,20943,6.0,137.0,97.3,1329.8,,30451,31900.0,,
RENAULT,CLIO,diesel,3262,4.1,108.8,74.0,1269.3,,28215,23900.0,,
RENAULT,CLIO,lpg,14262,5.4,108.5,74.0,1239.3,,28215,18900.0,,
RENAULT,CLIO,petrol,10691,5.3,119.4,62.2,1167.2,,28215,17900.0,,
FORD,PUMA,petrol,28052,5.5,124.1,92.6,1330.8,,28052,26900.0,,
MG,MG ZS,petrol,27340,6.7,150.4,78.7,1321.9,,27340,,,
DACIA,DUSTER,diesel,4381,5.1,132.1,84.6,1468.6,,27214,,,
DACIA,DUSTER,lpg,17616,6.4,126.5,74.0,1361.8,,27214,19900.0,,
DACIA,DUSTER,petrol,5217,5.5,124.6,81.2,1425.3,,27214,21900.0,,
OPEL,CORSA,diesel,38,4.2,110.4,75.0,1165.0,,26767,,,
OPEL,CORSA,electric,500,,0.0,102.3,1541.9,,26767,34900.0,,
OPEL,CORSA,petrol,26229,5.3,118.7,60.9,1135.0,,26767,19900.0,,
VOLKSWAGEN,T-CROSS,petrol,24199,5.8,131.0,79.8,1276.5,,24199,26900.0,,
RENAULT,CAPTUR,lpg,18172,6.1,119.2,74.0,1351.6,,23927,23900.0,,
RENAULT,CAPTUR,petrol,5755,5.9,133.0,73.3,1302.3,,23927,22900.0,,
PEUGEOT,2008,diesel,2674,5.0,131.9,96.0,1345.0,,22953,30900.0,,
PEUGEOT,2008,electric,1125,,0.0,110.3,1623.0,337.4,22953,38900.0,,
PEUGEOT,2008,petrol,19154,5.6,126.4,84.1,1283.0,,22953,26900.0,,
KIA,SPORTAGE,diesel,10245,5.2,135.3,100.0,1604.1,,22118,37900.0,,
KIA,SPORTAGE,lpg,2926,6.8,146.7,112.8,1550.0,,22118,33900.0,,
KIA,SPORTAGE,petrol,8306,5.9,133.8,122.9,1640.3,,22118,32900.0,,
KIA,SPORTAGE,petrol/electric,641,,25.8,124.5,1905.0,66.4,22118,,,
TOYOTA,TOYOTA AYGO X,petrol,21278,4.9,110.1,53.0,1032.1,,21278,,,
VOLKSWAGEN,TIGUAN,diesel,14590,5.7,148.5,114.8,1690.9,,20285,42900.0,,
VOLKSWAGEN,TIGUAN,petrol,4919,6.3,144.4,105.9,1608.2,,20285,39900.0,,
VOLKSWAGEN,TIGUAN,petrol/electric,776,1.4,11.5,112.2,1862.4,116.6,20285,,,
NISSAN,NISSAN QASHQAI,petrol,17662,5.9,132.8,112.3,1538.5,,17662,,,
TOYOTA,TOYOTA C-HR,petrol,14581,4.8,109.1,83.2,1524.9,,16386,,,
TOYOTA,TOYOTA C-HR,petrol/electric,1805,0.8,19.0,111.0,1722.7,66.7,16386,,,
FIAT,FIAT 500,lpg,1,5.6,114.0,51.0,1055.0,,14776,,,
FIAT,FIAT 500,petrol,14775,4.7,107.1,52.0,1039.4,,14776,,,
JEEP,COMPASS,diesel,7297,5.4,140.9,96.0,1615.0,,13615,,,
JEEP,COMPASS,petrol,4799,5.7,128.2,96.0,1575.0,,13615,,,
JEEP,COMPASS,petrol/electric,1519,1.9,45.0,105.1,1935.0,46.0,13615,,,
HYUNDAI,I10,petrol,13611,5.2,117.6,48.3,1001.8,,13611,17900.0,,
ALFA ROMEO,TONALE,diesel,7049,5.4,141.6,96.0,1655.0,,13510,42900.0,,
ALFA ROMEO,TONALE,petrol,5655,5.8,131.9,109.9,1600.0,,13510,39900.0,,
ALFA ROMEO,TONALE,petrol/electric,806,,30.0,132.0,1910.0,62.2,13510,,,
VOLKSWAGEN,GOLF,diesel,5566,4.6,120.2,98.1,1428.9,,13451,34900.0,,
VOLKSWAGEN,GOLF,ng,57,6.2,111.1,96.0,1390.5,,13451,,,
VOLKSWAGEN,GOLF,petrol,7356,5.6,127.7,100.5,1342.1,,13451,31900.0,,
VOLKSWAGEN,GOLF,petrol/electric,472,,7.9,111.4,1648.4,135.9,13451,,,
VOLKSWAGEN,POLO,ng,721,5.6,100.2,66.0,1296.0,,13183,,,
VOLKSWAGEN,POLO,petrol,12462,5.4,122.6,69.7,1172.5,,13183,,,
JEEP,RENEGADE,diesel,4789,5.2,134.4,96.0,1505.0,,12903,,,
JEEP,RENEGADE,petrol,6022,5.8,132.1,93.5,1463.3,,12903,,,
JEEP,RENEGADE,petrol/electric,2092,1.8,43.4,100.0,1845.0,46.4,12903,,,
FORD,KUGA,diesel,3391,5.7,149.4,88.0,1667.8,,12695,,,
FORD,KUGA,petrol,6727,5.6,128.2,111.2,1693.5,,12695,,,
FORD,KUGA,petrol/electric,2577,1.0,21.8,111.4,1860.3,66.8,12695,,,
KIA,PICANTO,lpg,2560,5.2,108.7,48.4,999.9,,12428,16900.0,,
KIA,PICANTO,petrol,9868,5.2,118.1,48.1,982.5,,12428,15900.0,,
NISSAN,NISSAN JUKE,diesel,1,,134.0,81.0,1340.0,,12000,,,
NISSAN,NISSAN JUKE,petrol,11999,5.4,122.6,76.4,1338.3,,12000,,,
HYUNDAI,TUCSONIX35,diesel,3328,5.3,137.3,98.8,1607.6,,11882,,,
HYUNDAI,TUCSONIX35,petrol,7940,5.9,133.3,124.4,1631.6,,11882,,,
HYUNDAI,TUCSONIX35,petrol/electric,614,1.3,29.7,128.2,1881.9,,11882,,,
PEUGEOT,3008,diesel,4573,5.4,142.3,96.0,1504.0,,10971,,,
PEUGEOT,3008,electric,558,,0.0,157.0,2183.0,,10971,,,
PEUGEOT,3008,petrol,5426,5.5,125.2,99.7,1610.2,,10971,,,
PEUGEOT,3008,petrol/electric,414,1.3,30.2,130.2,1848.8,62.3,10971,,,
FORD,FOCUS,diesel,4034,5.1,133.3,85.0,1501.5,,10968,29900.0,,
FORD,FOCUS,petrol,6934,5.4,123.1,99.0,1425.8,,10968,26900.0,,
SUZUKI,VITARA,petrol,10934,5.5,124.2,92.3,1290.7,,10934,,,
FIAT,500X,diesel,5585,4.7,123.7,70.0,1430.0,,10910,,,
FIAT,500X,petrol,5325,5.8,129.5,95.3,1470.5,,10910,,,
SUZUKI,SWIFT,petrol,10319,4.7,106.7,62.3,1012.8,,10319,,,
SKODA,FABIA,petrol,10018,5.2,117.3,67.9,1151.7,,10018,,,
SUZUKI,IGNIS,petrol,9753,5.2,117.1,61.0,964.5,,9753,,,
DR,DR 5.0,lpg,8546,8.0,158.0,98.5,1418.2,,9659,,,
DR,DR 5.0,petrol,1113,8.1,183.3,95.7,1389.7,,9659,,,
VOLKSWAGEN,TAIGO,petrol,9618,5.7,128.7,83.3,1248.5,,9618,,,
SKODA,KAMIQ,ng,134,5.6,100.8,66.0,1332.0,,9588,,,
SKODA,KAMIQ,petrol,9454,5.6,126.1,82.1,1239.0,,9588,,,
CITROEN,C3 AIRCROSS,diesel,3471,4.9,127.6,81.0,1310.0,,8759,,,
CITROEN,C3 AIRCROSS,petrol,5288,6.0,135.6,83.5,1294.1,,8759,,,
TOYOTA,TOYOTA COROLLA,petrol,8591,4.8,109.2,84.0,1483.9,,8591,,,
BMW,X1 SDRIVE18D,diesel,8462,5.1,134.1,110.0,1650.0,,8462,,,
OPEL,MOKKA,diesel,402,4.5,117.9,81.0,1295.0,,8434,,,
OPEL,MOKKA,electric,292,,0.0,100.6,1598.0,334.5,8434,,,
OPEL,MOKKA,petrol,7740,5.6,126.7,84.1,1279.0,,8434,,,
FORD,TOURNEO COURIER,petrol,8233,6.8,155.5,92.0,1456.4,,8233,,,
VOLVO,XC40,electric,282,,0.0,213.2,2093.4,537.2,8229,,,
VOLVO,XC40,petrol,7934,6.7,151.7,118.3,1681.1,,8229,,,
VOLVO,XC40,petrol/electric,13,2.1,48.0,109.2,1812.0,45.7,8229,,,
AUDI,Q3 SPORTBACK,diesel,5796,5.9,154.5,115.6,1678.3,,8165,,,
AUDI,Q3 SPORTBACK,petrol,2369,7.6,173.9,131.2,1631.5,,8165,,,
